__source_row,session_id,label,feature_group,model,raw_fusion_state,raw_confidence,raw_confidence_gap,raw_confidence_level,raw_probabilities,final_state,temporal_confidence,temporal_confidence_gap,temporal_confidence_level,temporal_probabilities,temporal_samples,temporal_window,temporal_window_full,raw_focused_prob,temporal_focused_prob,raw_distracted_prob,temporal_distracted_prob,raw_fatigued_prob,temporal_fatigued_prob,raw_overloaded_prob,temporal_overloaded_prob,__ground_truth,eval_raw_state,eval_raw_confidence,eval_raw_confidence_percent,eval_raw_second_class,eval_raw_second_probability,eval_raw_confidence_gap,eval_raw_confidence_level,eval_raw_probabilities,eval_raw_probability_sum,eval_raw_probability_valid,eval_temporal_state,eval_temporal_confidence,eval_temporal_confidence_percent,eval_temporal_second_class,eval_temporal_second_probability,eval_temporal_confidence_gap,eval_temporal_confidence_level,eval_temporal_probabilities,eval_temporal_samples,eval_temporal_window,eval_temporal_window_full,eval_temporal_probability_sum,eval_temporal_probability_valid,eval_raw_focused_prob,eval_temporal_focused_prob,eval_raw_distracted_prob,eval_temporal_distracted_prob,eval_raw_fatigued_prob,eval_temporal_fatigued_prob,eval_raw_overloaded_prob,eval_temporal_overloaded_prob
10,distracted_20260612_212851_9703787c,distracted,multimodal_all,catboost,distracted,0.8064282416018704,0.6913606156040192,High,"{""focused"": 0.03974936770570917, ""distracted"": 0.8064282416018704, ""fatigued"": 0.03875476469456915, ""overloaded"": 0.11506762599785124}",distracted,0.8064282416018704,0.6913606156040192,High,"{""focused"": 0.03974936770570917, ""distracted"": 0.8064282416018704, ""fatigued"": 0.03875476469456915, ""overloaded"": 0.11506762599785124}",1,5,False,0.0397493677057091,0.0397493677057091,0.8064282416018704,0.8064282416018704,0.0387547646945691,0.0387547646945691,0.1150676259978512,0.1150676259978512,distracted,distracted,0.8064282416018704,80.64282416018705,overloaded,0.11506762599785124,0.6913606156040192,High,"{""focused"": 0.03974936770570917, ""distracted"": 0.8064282416018704, ""fatigued"": 0.03875476469456915, ""overloaded"": 0.11506762599785124}",1.0,True,distracted,0.8064282416018704,80.64282416018705,overloaded,0.11506762599785124,0.6913606156040192,High,"{""focused"": 0.03974936770570917, ""distracted"": 0.8064282416018704, ""fatigued"": 0.03875476469456915, ""overloaded"": 0.11506762599785124}",1,5,False,1.0,True,0.03974936770570917,0.03974936770570917,0.8064282416018704,0.8064282416018704,0.03875476469456915,0.03875476469456915,0.11506762599785124,0.11506762599785124
11,distracted_20260612_213701_eaa522bb,distracted,multimodal_all,catboost,distracted,0.9143766525544946,0.8748196596866824,High,"{""focused"": 0.022249434570605107, ""distracted"": 0.9143766525544946, ""fatigued"": 0.023816920007088134, ""overloaded"": 0.03955699286781219}",distracted,0.9143766525544946,0.8748196596866824,High,"{""focused"": 0.022249434570605107, ""distracted"": 0.9143766525544946, ""fatigued"": 0.023816920007088134, ""overloaded"": 0.03955699286781219}",1,5,False,0.0222494345706051,0.0222494345706051,0.9143766525544946,0.9143766525544946,0.0238169200070881,0.0238169200070881,0.0395569928678121,0.0395569928678121,distracted,distracted,0.9143766525544946,91.43766525544946,overloaded,0.03955699286781219,0.8748196596866824,High,"{""focused"": 0.022249434570605107, ""distracted"": 0.9143766525544946, ""fatigued"": 0.023816920007088134, ""overloaded"": 0.03955699286781219}",1.0,True,distracted,0.9143766525544946,91.43766525544946,overloaded,0.03955699286781219,0.8748196596866824,High,"{""focused"": 0.022249434570605107, ""distracted"": 0.9143766525544946, ""fatigued"": 0.023816920007088134, ""overloaded"": 0.03955699286781219}",1,5,False,1.0,True,0.022249434570605107,0.022249434570605107,0.9143766525544946,0.9143766525544946,0.023816920007088134,0.023816920007088134,0.03955699286781219,0.03955699286781219
12,distracted_20260612_213918_45118a75,distracted,multimodal_all,catboost,distracted,0.922135186977074,0.8888503813043155,High,"{""focused"": 0.022990989405220316, ""distracted"": 0.9221351869770739, ""fatigued"": 0.021589017944947397, ""overloaded"": 0.033284805672758405}",distracted,0.922135186977074,0.8888503813043155,High,"{""focused"": 0.022990989405220316, ""distracted"": 0.9221351869770739, ""fatigued"": 0.021589017944947397, ""overloaded"": 0.033284805672758405}",1,5,False,0.0229909894052203,0.0229909894052203,0.922135186977074,0.922135186977074,0.0215890179449473,0.0215890179449473,0.0332848056727584,0.0332848056727584,distracted,distracted,0.9221351869770739,92.21351869770739,overloaded,0.033284805672758405,0.8888503813043155,High,"{""focused"": 0.022990989405220316, ""distracted"": 0.9221351869770739, ""fatigued"": 0.021589017944947397, ""overloaded"": 0.033284805672758405}",1.0,True,distracted,0.9221351869770739,92.21351869770739,overloaded,0.033284805672758405,0.8888503813043155,High,"{""focused"": 0.022990989405220316, ""distracted"": 0.9221351869770739, ""fatigued"": 0.021589017944947397, ""overloaded"": 0.033284805672758405}",1,5,False,1.0,True,0.022990989405220316,0.022990989405220316,0.9221351869770739,0.9221351869770739,0.021589017944947397,0.021589017944947397,0.033284805672758405,0.033284805672758405
13,distracted_20260612_215501_58efe950,distracted,multimodal_all,catboost,distracted,0.9311348657655056,0.9038624989918312,High,"{""focused"": 0.024032349058987296, ""distracted"": 0.9311348657655055, ""fatigued"": 0.017560418401832867, ""overloaded"": 0.027272366773674304}",distracted,0.9311348657655056,0.9038624989918312,High,"{""focused"": 0.024032349058987296, ""distracted"": 0.9311348657655055, ""fatigued"": 0.017560418401832867, ""overloaded"": 0.027272366773674304}",1,5,False,0.0240323490589872,0.0240323490589872,0.9311348657655056,0.9311348657655056,0.0175604184018328,0.0175604184018328,0.0272723667736743,0.0272723667736743,distracted,distracted,0.9311348657655055,93.11348657655056,overloaded,0.027272366773674304,0.9038624989918312,High,"{""focused"": 0.024032349058987296, ""distracted"": 0.9311348657655055, ""fatigued"": 0.017560418401832867, ""overloaded"": 0.027272366773674304}",1.0,True,distracted,0.9311348657655055,93.11348657655056,overloaded,0.027272366773674304,0.9038624989918312,High,"{""focused"": 0.024032349058987296, ""distracted"": 0.9311348657655055, ""fatigued"": 0.017560418401832867, ""overloaded"": 0.027272366773674304}",1,5,False,1.0,True,0.024032349058987296,0.024032349058987296,0.9311348657655055,0.9311348657655055,0.017560418401832867,0.017560418401832867,0.027272366773674304,0.027272366773674304
14,distracted_20260612_215627_f5bc2151,distracted,multimodal_all,catboost,distracted,0.878031735421855,0.8225645605759235,High,"{""focused"": 0.03179400305136073, ""distracted"": 0.878031735421855, ""fatigued"": 0.03470708668085288, ""overloaded"": 0.05546717484593146}",distracted,0.878031735421855,0.8225645605759235,High,"{""focused"": 0.03179400305136073, ""distracted"": 0.878031735421855, ""fatigued"": 0.03470708668085288, ""overloaded"": 0.05546717484593146}",1,5,False,0.0317940030513607,0.0317940030513607,0.878031735421855,0.878031735421855,0.0347070866808528,0.0347070866808528,0.0554671748459314,0.0554671748459314,distracted,distracted,0.878031735421855,87.8031735421855,overloaded,0.05546717484593146,0.8225645605759235,High,"{""focused"": 0.03179400305136073, ""distracted"": 0.878031735421855, ""fatigued"": 0.03470708668085288, ""overloaded"": 0.05546717484593146}",1.0,True,distracted,0.878031735421855,87.8031735421855,overloaded,0.05546717484593146,0.8225645605759235,High,"{""focused"": 0.03179400305136073, ""distracted"": 0.878031735421855, ""fatigued"": 0.03470708668085288, ""overloaded"": 0.05546717484593146}",1,5,False,1.0,True,0.03179400305136073,0.03179400305136073,0.878031735421855,0.878031735421855,0.03470708668085288,0.03470708668085288,0.05546717484593146,0.05546717484593146
15,distracted_20260612_220436_7ec9bdf5,distracted,multimodal_all,catboost,distracted,0.9331699426564396,0.9032228508905936,High,"{""focused"": 0.01906317811037987, ""distracted"": 0.9331699426564396, ""fatigued"": 0.017819787467334737, ""overloaded"": 0.02994709176584583}",distracted,0.9331699426564396,0.9032228508905936,High,"{""focused"": 0.01906317811037987, ""distracted"": 0.9331699426564396, ""fatigued"": 0.017819787467334737, ""overloaded"": 0.02994709176584583}",1,5,False,0.0190631781103798,0.0190631781103798,0.9331699426564396,0.9331699426564396,0.0178197874673347,0.0178197874673347,0.0299470917658458,0.0299470917658458,distracted,distracted,0.9331699426564396,93.31699426564396,overloaded,0.02994709176584583,0.9032228508905937,High,"{""focused"": 0.01906317811037987, ""distracted"": 0.9331699426564396, ""fatigued"": 0.017819787467334737, ""overloaded"": 0.02994709176584583}",1.0,True,distracted,0.9331699426564396,93.31699426564396,overloaded,0.02994709176584583,0.9032228508905937,High,"{""focused"": 0.01906317811037987, ""distracted"": 0.9331699426564396, ""fatigued"": 0.017819787467334737, ""overloaded"": 0.02994709176584583}",1,5,False,1.0,True,0.01906317811037987,0.01906317811037987,0.9331699426564396,0.9331699426564396,0.017819787467334737,0.017819787467334737,0.02994709176584583,0.02994709176584583
16,fatigued_20260610_211036_a7b4ae44,fatigued,multimodal_all,catboost,fatigued,0.9096471258457716,0.8730446243147176,High,"{""focused"": 0.025277883239274435, ""distracted"": 0.036602501531054, ""fatigued"": 0.9096471258457717, ""overloaded"": 0.028472489383899856}",fatigued,0.9096471258457716,0.8730446243147176,High,"{""focused"": 0.025277883239274435, ""distracted"": 0.036602501531054, ""fatigued"": 0.9096471258457717, ""overloaded"": 0.028472489383899856}",1,5,False,0.0252778832392744,0.0252778832392744,0.036602501531054,0.036602501531054,0.9096471258457716,0.9096471258457716,0.0284724893838998,0.0284724893838998,fatigued,fatigued,0.9096471258457717,90.96471258457717,distracted,0.036602501531054,0.8730446243147176,High,"{""focused"": 0.025277883239274435, ""distracted"": 0.036602501531054, ""fatigued"": 0.9096471258457717, ""overloaded"": 0.028472489383899856}",1.0,True,fatigued,0.9096471258457717,90.96471258457717,distracted,0.036602501531054,0.8730446243147176,High,"{""focused"": 0.025277883239274435, ""distracted"": 0.036602501531054, ""fatigued"": 0.9096471258457717, ""overloaded"": 0.028472489383899856}",1,5,False,1.0,True,0.025277883239274435,0.025277883239274435,0.036602501531054,0.036602501531054,0.9096471258457717,0.9096471258457717,0.028472489383899856,0.028472489383899856
17,fatigued_20260610_211659_4f694336,fatigued,multimodal_all,catboost,fatigued,0.9337015917890172,0.9085178250441566,High,"{""focused"": 0.01674799492285497, ""distracted"": 0.025183766744860704, ""fatigued"": 0.9337015917890172, ""overloaded"": 0.02436664654326706}",fatigued,0.9337015917890172,0.9085178250441566,High,"{""focused"": 0.01674799492285497, ""distracted"": 0.025183766744860704, ""fatigued"": 0.9337015917890172, ""overloaded"": 0.02436664654326706}",1,5,False,0.0167479949228549,0.0167479949228549,0.0251837667448607,0.0251837667448607,0.9337015917890172,0.9337015917890172,0.024366646543267,0.024366646543267,fatigued,fatigued,0.9337015917890172,93.37015917890173,distracted,0.025183766744860704,0.9085178250441566,High,"{""focused"": 0.01674799492285497, ""distracted"": 0.025183766744860704, ""fatigued"": 0.9337015917890172, ""overloaded"": 0.02436664654326706}",1.0,True,fatigued,0.9337015917890172,93.37015917890173,distracted,0.025183766744860704,0.9085178250441566,High,"{""focused"": 0.01674799492285497, ""distracted"": 0.025183766744860704, ""fatigued"": 0.9337015917890172, ""overloaded"": 0.02436664654326706}",1,5,False,1.0,True,0.01674799492285497,0.01674799492285497,0.025183766744860704,0.025183766744860704,0.9337015917890172,0.9337015917890172,0.02436664654326706,0.02436664654326706
18,fatigued_20260610_214330_ac67c1d4,fatigued,multimodal_all,catboost,fatigued,0.8996399947347313,0.8550885239416035,High,"{""focused"": 0.021820896557158416, ""distracted"": 0.03398763791498241, ""fatigued"": 0.8996399947347313, ""overloaded"": 0.04455147079312788}",fatigued,0.8996399947347313,0.8550885239416035,High,"{""focused"": 0.021820896557158416, ""distracted"": 0.03398763791498241, ""fatigued"": 0.8996399947347313, ""overloaded"": 0.04455147079312788}",1,5,False,0.0218208965571584,0.0218208965571584,0.0339876379149824,0.0339876379149824,0.8996399947347313,0.8996399947347313,0.0445514707931278,0.0445514707931278,fatigued,fatigued,0.8996399947347313,89.96399947347314,overloaded,0.04455147079312788,0.8550885239416035,High,"{""focused"": 0.021820896557158416, ""distracted"": 0.03398763791498241, ""fatigued"": 0.8996399947347313, ""overloaded"": 0.04455147079312788}",1.0,True,fatigued,0.8996399947347313,89.96399947347314,overloaded,0.04455147079312788,0.8550885239416035,High,"{""focused"": 0.021820896557158416, ""distracted"": 0.03398763791498241, ""fatigued"": 0.8996399947347313, ""overloaded"": 0.04455147079312788}",1,5,False,1.0,True,0.021820896557158416,0.021820896557158416,0.03398763791498241,0.03398763791498241,0.8996399947347313,0.8996399947347313,0.04455147079312788,0.04455147079312788
19,fatigued_20260610_215136_5ac0bd42,fatigued,multimodal_all,catboost,fatigued,0.8908547400602546,0.8505068215643495,High,"{""focused"": 0.030444786028379276, ""distracted"": 0.04034791849590505, ""fatigued"": 0.8908547400602546, ""overloaded"": 0.03835255541546111}",fatigued,0.8908547400602546,0.8505068215643495,High,"{""focused"": 0.030444786028379276, ""distracted"": 0.04034791849590505, ""fatigued"": 0.8908547400602546, ""overloaded"": 0.03835255541546111}",1,5,False,0.0304447860283792,0.0304447860283792,0.040347918495905,0.040347918495905,0.8908547400602546,0.8908547400602546,0.0383525554154611,0.0383525554154611,fatigued,fatigued,0.8908547400602546,89.08547400602545,distracted,0.04034791849590505,0.8505068215643495,High,"{""focused"": 0.030444786028379276, ""distracted"": 0.04034791849590505, ""fatigued"": 0.8908547400602546, ""overloaded"": 0.03835255541546111}",1.0,True,fatigued,0.8908547400602546,89.08547400602545,distracted,0.04034791849590505,0.8505068215643495,High,"{""focused"": 0.030444786028379276, ""distracted"": 0.04034791849590505, ""fatigued"": 0.8908547400602546, ""overloaded"": 0.03835255541546111}",1,5,False,1.0,True,0.030444786028379276,0.030444786028379276,0.04034791849590505,0.04034791849590505,0.8908547400602546,0.8908547400602546,0.03835255541546111,0.03835255541546111
