stage,run_type,repetition,input_index,session_id,label,latency_ns,latency_ms,child_pid
Audio feature extraction,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,303414400,303.4144,
Audio feature extraction,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,1008156500,1008.1565,
Audio feature extraction,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,849463900,849.4639,
Audio feature extraction,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,1551680700,1551.6807,
Audio feature extraction,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,2166387800,2166.3878,
Audio feature extraction,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,2193816000,2193.816,
Audio feature extraction,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,2168623700,2168.6237,
Audio feature extraction,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,115918800,115.9188,
Audio feature extraction,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,972751000,972.751,
Visual feature extraction,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,1288967900,1288.9679,
Visual feature extraction,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,1298363400,1298.3634,
Visual feature extraction,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,1088268200,1088.2682,
Visual feature extraction,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,1290117500,1290.1175,
Visual feature extraction,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,1718127600,1718.1276,
Visual feature extraction,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,1318631200,1318.6312,
Visual feature extraction,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,1065722400,1065.7224,
Visual feature extraction,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,1097989700,1097.9897,
Visual feature extraction,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,1459406500,1459.4065,
Visual feature extraction,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,1596610900,1596.6109,
Visual feature extraction,warm,11,10.0,focused_20260611_203335_5f244a13,focused,1282486900,1282.4869,
Visual feature extraction,warm,12,11.0,focused_20260611_203933_8705813b,focused,1692082800,1692.0828,
